timestamp,roll,pitch,heave,wave_height_swell,wave_height_sea,wave_dir_swell,wave_dir_sea,peak_period_swell,peak_period_sea
2024-02-14 18:00:00+00:00,0.8993495328322281,0.9063248948984203,1.1270434126094575,1.0,1.0,70,251,6.9,1.3
2024-02-14 21:00:00+00:00,1.0851744413273483,0.9609750736381586,1.1770710688701111,1.4,0.5,92,281,7.9,3.0
2024-02-15 00:00:00+00:00,1.102382893758973,1.0047619719737535,1.1955641695246997,1.8,0.2,173,281,9.5,1.9
2024-02-15 03:00:00+00:00,0.9879103062815437,0.9882709305334898,1.3086831741779155,2.38,0.2,196,215,10.6,2.2
2024-02-15 06:00:00+00:00,0.9961760778119301,1.0445211824598117,1.2857998774562431,2.44,0.03,197,232,11.3,1.1
2024-02-15 09:00:00+00:00,1.6098007402436556,1.554681780641753,1.4697448237352528,2.79,0.09,197,139,11.7,1.9
2024-02-15 12:00:00+00:00,2.9422794739549083,2.3427131663237724,2.037771630802544,2.96,0.23,195,102,11.8,2.4
2024-02-15 15:00:00+00:00,3.0203647184068085,2.7000332721152542,1.8063333309264735,3.04,0.13,193,123,11.7,1.7
2024-02-15 18:00:00+00:00,2.688069719557245,2.74493192388538,1.7197296100083899,3.08,0.8,195,155,11.8,4.0
2024-02-15 21:00:00+00:00,2.4196031412675825,2.5143715679810983,1.735787356080806,2.6,0.3,192,168,11.4,2.9
2024-02-16 00:00:00+00:00,2.3608994847800973,2.308786238895106,1.7026977673525039,2.91,0.3,191,191,11.3,2.4
2024-02-16 03:00:00+00:00,1.9379262724390234,2.1596498196069156,1.5926862272144977,2.7,0.3,189,211,11.2,2.7
2024-02-16 06:00:00+00:00,2.5689752982766056,2.5203380364908368,2.569097739850259,2.78,0.36,189,193,11.3,3.0
2024-02-16 09:00:00+00:00,3.556587692501034,2.874344465698593,1.877900332431381,2.64,0.56,188,206,11.2,3.5
2024-02-16 12:00:00+00:00,3.5609804343580946,2.913071152193755,1.7156271829031777,2.54,0.44,187,212,10.9,3.1
2024-02-16 15:00:00+00:00,4.087865277284923,2.793077196319019,1.7075471161687688,2.35,0.72,186,210,10.9,4.0
2024-02-16 18:00:00+00:00,3.309133275429746,2.7845895646269407,1.6914705946624817,2.1,0.7,186,205,10.7,4.0
2024-02-16 21:00:00+00:00,2.42350105437636,2.266717839768871,1.6078192964854365,2.14,0.4,187,195,10.2,2.7
2024-02-17 00:00:00+00:00,2.1526528553359325,2.1561216722165826,1.4917573187956579,1.9,0.4,185,212,10.2,2.9
2024-02-17 03:00:00+00:00,1.8638075902925144,2.065838364520479,1.586648801354752,1.7,0.5,181,232,10.0,3.4
2024-02-17 06:00:00+00:00,1.7804967225513157,1.9524088559483677,1.4696691885951148,1.8,0.6,177,234,9.6,3.5
2024-02-17 09:00:00+00:00,1.660948869076432,1.9210575956797213,1.5865183882086247,1.8,0.8,173,236,9.3,3.7
2024-02-17 12:00:00+00:00,1.8689562509476783,1.9334841747259817,1.830537051529533,1.8,1.0,171,231,9.0,4.0
